Model_no,variable,Num_factors,Coef.,Std.Err.,z,P>|z|,Max_pvalue,[0.025,0.975],sign,sign_max,VIF,VIF_max,dev_gini,oot_gini,Relative_diff,Average_precision,var,Gini_train,Trend,sum_gini,Factor_weight,ACCOUNT_TYPE_COUNT,AMOUNT_PAST_DUE_SUM,BUREAUSCORE,CREDIT_CARDS_COUNT,DAYS_SINCE_LAST_PAYMENT,MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_UNSECURED,MAX_DPD_LAST_24_MONTHS,MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_SECURED,MAX_DPD_LAST_24_MONTHS_UNSECURED,MAX_DPD_LAST_6_MONTHS,MAX_DPD_LAST_6_MONTHS_UNSECURED,MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_UNSECURED,NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_60_DPD_12MONTHS,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_60_DPD_9MONTHS,NO_OF_TIMES_90_DPD_12MONTHS,PAYMENT_WITHOUT_DPD_LAST_6_MONTHS
34486,DAYS_SINCE_LAST_PAYMENT_woe,2,0.6097397782794196,0.2594531652340904,2.3500957397427964,0.018768582841075663,0.018768582841075663,0.10122091874568273,1.1182586378131565,0,0,1.004587956242381,1.004587956242381,0.11769435650032656,0.07300077855633424,0.3797245364825175,0.23052882000756902,DAYS_SINCE_LAST_PAYMENT,0.06010631466684524,Increasing,0.1386646081228724,0.4334654349117282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32735,const,2,-1.396972376591116,0.041666598792727896,-33.52739165345386,1.9230175137108696e-246,0.03305385240700947,-1.4786374095831427,-1.3153073435990892,0,0,,1.3048562345733274,0.11749613325069386,0.0818207095984873,0.3036206268272898,0.22865723645993652,,,,0.166054780344443,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32735,MAX_DPD_LAST_12_MONTHS_ACTIVE_woe,2,0.7993505518114628,0.19482455121772665,4.1029251540179175,4.079592534739761e-05,0.03305385240700947,0.41750144812053935,1.181199655502386,0,0,1.3048562345733274,1.3048562345733274,0.11749613325069386,0.0818207095984873,0.3036206268272898,0.22865723645993652,MAX_DPD_LAST_12_MONTHS_ACTIVE,0.08663472759658486,Increasing,0.166054780344443,0.5217237794472448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32735,MAX_DPD_LAST_24_MONTHS_woe,2,0.5318650339608121,0.24953453514835267,2.1314285561499893,0.03305385240700947,0.03305385240700947,0.04278633217109662,1.0209437357505275,0,0,1.3048562345733274,1.3048562345733274,0.11749613325069386,0.0818207095984873,0.3036206268272898,0.22865723645993652,MAX_DPD_LAST_24_MONTHS,0.07942005274785813,Increasing,0.166054780344443,0.47827622055275515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34343,const,2,-1.397521442775491,0.04171903661102807,-33.498411188288756,5.083389526354285e-246,1.810715346589436e-05,-1.4792892520028138,-1.315753633548168,0,0,,1.0145941242889274,0.11683073595732507,0.04889333778222671,0.5816558062936503,0.22719312559619886,,,,0.11713551583645554,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34343,ACCOUNT_TYPE_COUNT_woe,2,1.1521449627410156,0.26875083237646696,4.287037746276028,1.810715346589436e-05,1.810715346589436e-05,0.6254030104679793,1.678886915014052,0,0,1.014594124288927,1.0145941242889274,0.11683073595732507,0.04889333778222671,0.5816558062936503,0.22719312559619886,ACCOUNT_TYPE_COUNT,0.052034998967005475,Decreasing,0.11713551583645554,0.4442290503902905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34343,MAX_DPD_LAST_6_MONTHS_UNSECURED_woe,2,1.08838066577833,0.19592771238370502,5.555011348506148,2.7759372529599002e-08,1.810715346589436e-05,0.7043694059329457,1.4723919256237141,0,0,1.0145941242889274,1.0145941242889274,0.11683073595732507,0.04889333778222671,0.5816558062936503,0.22719312559619886,MAX_DPD_LAST_6_MONTHS_UNSECURED,0.06510051686945006,Increasing,0.11713551583645554,0.5557709496097095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34510,const,2,-1.3829590397324854,0.04187617241476002,-33.0249628842639,3.5600713940839378e-239,0.019631603601211304,-1.4650348294758047,-1.300883249989166,0,0,,1.005661661269273,0.11561626956872928,0.1042320097875653,0.09847975589242193,0.22919335157375176,,,,0.13631245195645425,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34510,NO_OF_TIMES_90_DPD_12MONTHS_woe,2,0.963378182564562,0.20130256975683808,4.785722227631109,1.7037355405390002e-06,0.019631603601211304,0.5688323958457975,1.3579239692833265,0,0,1.005661661269273,1.005661661269273,0.11561626956872928,0.1042320097875653,0.09847975589242193,0.22919335157375176,NO_OF_TIMES_90_DPD_12MONTHS,0.07620613728960901,Increasing,0.13631245195645425,0.5590548493247959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34510,DAYS_SINCE_LAST_PAYMENT_woe,2,0.6053629560425078,0.2594432732476062,2.3333152887905655,0.019631603601211304,0.019631603601211304,0.09686348444601556,1.113862427639,0,0,1.0056616612692728,1.005661661269273,0.11561626956872928,0.1042320097875653,0.09847975589242193,0.22919335157375176,DAYS_SINCE_LAST_PAYMENT,0.06010631466684524,Increasing,0.13631245195645425,0.4409451506752041,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33791,const,2,-1.3974525043593689,0.041706765997403056,-33.5066138776232,3.860988206506449e-246,2.2390514671249308e-05,-1.4791962636259186,-1.315708745092819,0,0,,1.012601754747072,0.11470239524413084,0.04632410187965763,0.5961490267172904,0.22802083293057604,,,,0.11641567694635668,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33791,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE_woe,2,1.0823128965690785,0.19916596353687355,5.4342261968305605,5.5034731812827546e-08,2.2390514671249308e-05,0.6919547810905886,1.4726710120475683,0,0,1.012601754747072,1.012601754747072,0.11470239524413084,0.04632410187965763,0.5961490267172904,0.22802083293057604,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE,0.06438067797935121,Increasing,0.11641567694635668,0.5530241258573556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33791,ACCOUNT_TYPE_COUNT_woe,2,1.1385142904300474,0.2685420121413841,4.239613315441434,2.2390514671249308e-05,2.2390514671249308e-05,0.6121816182970166,1.6648469625630782,0,0,1.0126017547470716,1.012601754747072,0.11470239524413084,0.04632410187965763,0.5961490267172904,0.22802083293057604,ACCOUNT_TYPE_COUNT,0.052034998967005475,Decreasing,0.11641567694635668,0.4469758741426444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
