variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
PAYMENT_WITHOUT_DPD_LAST_12_MONTHS,PAYMENT_WITHOUT_DPD_LAST_12_MONTHS_woe,"[0.9399999999999996,inf)",3036,0.8256731030731574,2482,554,0.18247694334650857,-0.10244675771669964,0.008398749078715307,0.042956107511195774,0.19551932345188208,0,0,inf,False,3,3,Decreasing,Decreasing,0.08198159967093077,0.020670670670670743,0.747694256100732,1
OUTSTANDING_BALANCE_UNSECURED,OUTSTANDING_BALANCE_UNSECURED_woe,"[-inf,120000.0)",2480,0.6744628773456622,1951,529,0.21330645161290324,0.09209961253575732,0.005880280664982642,0.027623738592243263,0.21287055860837834,0,0,120000.0,False,1,3,Decreasing,Increasing,0.06965732504704314,0.03651985318652007,0.4754300123460986,0
OUTSTANDING_BALANCE_UNSECURED,OUTSTANDING_BALANCE_UNSECURED_woe,"[120000.0,640000.0)",961,0.2613543649714441,790,171,0.17793964620187305,-0.13316086765783827,0.004448956405574125,0.027623738592243263,0.16105554976629377,0,0,640000.0,False,2,3,Decreasing,Increasing,0.06965732504704314,0.03651985318652007,0.4754300123460986,0
OUTSTANDING_BALANCE_UNSECURED,OUTSTANDING_BALANCE_UNSECURED_woe,"[640000.0,inf)",236,0.06418275768289367,207,29,0.1228813559322034,-0.5682144419783259,0.017294501521686496,0.027623738592243263,0.6260738916253279,0,0,inf,False,3,3,Decreasing,Increasing,0.06965732504704314,0.03651985318652007,0.4754300123460986,0
CREDIT_CARDS_COUNT,CREDIT_CARDS_COUNT_woe,"[-inf,1.0)",2245,0.610552080500408,1739,506,0.22538975501113587,0.16267967623375168,0.016952858346819186,0.05474663112572381,0.3096603023460478,0,0,1.0,False,1,3,Decreasing,Decreasing,0.11218086522121906,0.07778333889445,0.3065733184204017,1
CREDIT_CARDS_COUNT,CREDIT_CARDS_COUNT_woe,"[1.0,4.0)",1002,0.2725047593146587,834,168,0.16766467065868262,-0.20506090165491866,0.010755647015737686,0.05474663112572381,0.19646226250959078,0,0,4.0,False,2,3,Decreasing,Decreasing,0.11218086522121906,0.07778333889445,0.3065733184204017,1
CREDIT_CARDS_COUNT,CREDIT_CARDS_COUNT_woe,"[4.0,inf)",430,0.11694316018493336,375,55,0.12790697674418605,-0.5223843194373708,0.027038125763166936,0.05474663112572381,0.49387743514436133,0,0,inf,False,3,3,Decreasing,Decreasing,0.11218086522121906,0.07778333889445,0.3065733184204017,1
ACCOUNT_STATUS_ACTIVE,ACCOUNT_STATUS_ACTIVE_woe,"[-inf,1.0)",189,0.051400598313842805,143,46,0.24338624338624337,0.26300528752975666,0.0038379505494509753,0.017710690130129825,0.21670248427653124,0,0,1.0,False,1,3,Decreasing,Decreasing,0.052101073383549856,0.007507507507507505,0.8559225695977418,0
ACCOUNT_STATUS_ACTIVE,ACCOUNT_STATUS_ACTIVE_woe,"[1.0,10.0)",2941,0.7998368234974164,2342,599,0.20367222033322,0.033709575258355766,0.0009181348579644772,0.017710690130129825,0.05184071604316116,0,0,10.0,False,2,3,Decreasing,Decreasing,0.052101073383549856,0.007507507507507505,0.8559225695977418,0
ACCOUNT_STATUS_ACTIVE,ACCOUNT_STATUS_ACTIVE_woe,"[10.0,inf)",547,0.14876257818874083,463,84,0.15356489945155394,-0.30970173394235134,0.012954604722714372,0.017710690130129825,0.7314567996803076,0,0,inf,False,3,3,Decreasing,Decreasing,0.052101073383549856,0.007507507507507505,0.8559225695977418,0
