USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,LAST_1_MONTH_CUSTOMERS,LAST_2_MONTH_CUSTOMERS,LAST_3_MONTH_CUSTOMERS,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,DELETED_CUSTOMERS,LAST_1_MONTH_BOOKS,LAST_2_MONTH_BOOKS,LAST_3_MONTH_BOOKS,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,DELETED_BOOKS,TOTAL_APPS,BUSINESS_APPS,FINANCE_APPS,BUSINESS_TOTALAPPS_PROPORTION,FINANCE_TOTALAPPS_PROPORTION,DEVICE_CARRIER_GROUP,PRICE,BUSINESS_CARD_FLAG,pred_train1,logodds_score,Calib_PD,Act_pred
3ec891b7-b0f7-4244-9fc6-ddb23ec41c53,19985,21/06/22,0,7,13,14,0.5,13,0,0,0,,0,33,2,19,0.060606,0.575758,VI,,,0.002622376,-5.9410486,0.026783555,0.083808845
e3939ae0-aede-408c-be37-eee95154a7bf,13513,21/04/22,0,0,0,0,,0,0,0,0,,0,33,4,17,0.121212,0.515152,JIO,,,0.002634891,-5.936275,0.026824962,0.062666667
b6bd8b0b-a121-42a0-9105-68c107921cce,20748,20/06/22,0,4,8,11,0.363636,107,0,0,0,,0,97,11,32,0.113402,0.329897,OTHERS,70,,0.00265755,-5.9276896,0.02689959,0.062666667
1a974f2a-d5ce-4db6-8361-9510d34029f5,1296,01/12/21,0,0,0,0,,5,0,0,0,,0,174,9,39,0.051724,0.224138,AIRTEL,98,,0.002730607,-5.900497,0.027137293,0.083808845
42a776ae-7a89-4747-96ef-af4736b4355a,373,04/01/22,0,3,9,11,0.272727,56,0,0,0,,1,157,3,22,0.019108,0.140127,VI,75,,0.002782838,-5.8814974,0.027304587,0.083808845
c6a30ac4-9056-410b-afa3-1c06e36ceb42,13682,23/04/22,0,0,0,0,,0,0,0,0,,0,175,49,33,0.28,0.188571,AIRTEL,29,,0.002844805,-5.8594117,0.027500315,0.062666667
a4a4ce59-422a-4d2f-abcd-6d57778288b5,15717,23/05/22,0,1,2,2,0.5,10,1,1,1,1,0,85,7,45,0.082353,0.529412,JIO,19,,0.002934102,-5.8284154,0.027777312,0.062666667
4a76104c-8180-4b77-9649-c169f2ec56b3,12897,19/04/22,0,0,1,7,0,0,0,0,0,,0,69,12,26,0.173913,0.376812,JIO,15,,0.003008333,-5.803356,0.028003233,0.062666667
731b9d6a-f505-405c-af52-38c81544824d,7207,23/06/22,0,2,5,5,0.4,1,0,1,1,0,0,33,1,15,0.030303,0.454545,AIRTEL,,,0.003043366,-5.7917433,0.028108532,0.083808845
4a76104c-8180-4b77-9649-c169f2ec56b3,73,02/08/21,0,2,5,8,0.25,0,0,0,0,,0,69,12,26,0.173913,0.376812,JIO,,,0.003086769,-5.777539,0.028237854,0.062666667
b905b461-0d5c-4815-8bbd-45bc3f60e323,2234,03/02/22,0,1,1,1,1,1,0,0,0,,0,57,9,25,0.157895,0.438596,AIRTEL,15,,0.003100029,-5.773239,0.028277113,0.062666667
a5bb0ac0-bf1a-4eef-a234-0bf2ea4a8103,2881,17/02/22,0,1,1,1,1,0,0,0,0,,0,29,5,11,0.172414,0.37931,AIRTEL,12,,0.003100029,-5.773239,0.028277113,0.062666667
7061857f-5787-45d7-ae2a-64482549fdd6,147,17/08/21,1,4,4,4,1,0,0,0,0,,0,308,19,137,0.061688,0.444805,JIO,,,0.00315871,-5.754428,0.028449498,0.083808845
e80123f8-7d59-42a6-8579-51b86055cf58,15024,16/05/22,0,8,10,17,0.470588,10,0,0,0,,0,54,5,13,0.092593,0.240741,VI,70,,0.003289318,-5.7137804,0.028825478,0.062666667
83740add-11de-49e4-9245-3fcb5887d145,23096,29/06/22,0,0,0,0,,22,0,0,0,,0,85,4,13,0.047059,0.152941,JIO,79,,0.003310532,-5.70733,0.028885583,0.083808845
e3939ae0-aede-408c-be37-eee95154a7bf,617,06/10/21,0,0,0,0,,0,0,0,0,,0,33,4,17,0.121212,0.515152,missing,8,,0.003469604,-5.660239,0.029328088,0.062666667
e088f799-2d52-4ace-a10b-208ded74095a,18156,16/06/22,0,0,0,1,0,0,0,0,0,,0,27,2,13,0.074074,0.481481,JIO,20.5,,0.003478388,-5.657702,0.029352115,0.062666667
83740add-11de-49e4-9245-3fcb5887d145,103,02/08/21,0,0,0,1,0,15,0,0,0,,0,85,4,13,0.047059,0.152941,JIO,79,,0.003558283,-5.6349125,0.029568789,0.083808845
1600f513-17c0-4c45-9852-0bd0b4316c78,458,26/09/21,0,0,0,0,,5,0,0,0,,0,38,7,14,0.184211,0.368421,VI,29,,0.00365181,-5.608874,0.029818254,0.062666667
98c959c0-0bda-4486-b4ea-5ed974eb8b86,381,21/09/21,0,5,7,17,0.294118,0,0,0,1,0,0,52,11,13,0.211538,0.25,AIRTEL,,,0.003661142,-5.6063123,0.029842905,0.062666667
a80aba35-5f44-44e2-a726-41956759f29b,19144,15/06/22,0,19,120,120,0.158333,26,0,0,0,,0,29,6,10,0.206897,0.344828,AIRTEL,,,0.003670388,-5.6037807,0.029867286,0.062666667
e4ece0d8-786f-4eef-92b4-a4ad1237a648,1476,06/01/22,1,0,0,0,,2,0,0,0,,0,41,7,18,0.170732,0.439024,AIRTEL,25.5,,0.003816831,-5.564511,0.030247981,0.062666667
34d1cf94-6680-47fe-851b-694e00cefaac,13741,25/04/22,0,2,4,5,0.4,2,0,0,0,,2,36,6,15,0.166667,0.416667,VI,,,0.003822292,-5.5630755,0.030261984,0.062666667
a47a6bc7-840e-45df-8855-f5e445054a37,14490,05/05/22,0,81,163,219,0.369863,50,0,0,0,,0,173,22,50,0.127168,0.289017,JIO,47,,0.003889003,-5.545706,0.030431943,0.062666667
caf8552c-cd14-4cee-a9d6-c28f0135712d,22535,22/06/22,0,0,1,14,0,5,0,0,1,0,0,31,3,12,0.096774,0.387097,JIO,30,,0.00392663,-5.5360394,0.030526928,0.062666667
072ff9ca-4896-409b-92b3-b9473dc64145,15733,28/06/22,0,6,18,25,0.24,4,0,0,0,,0,52,12,14,0.230769,0.269231,JIO,7,,0.003948768,-5.530395,0.030582522,0.062666667
1929fd69-adae-4d4d-af30-ca3570af7a33,10498,30/06/22,0,1,1,1,1,1,0,0,0,,0,32,13,7,0.40625,0.21875,AIRTEL,12,,0.00409066,-5.49495,0.030933895,0.062666667
88481a35-2d1a-4141-a85c-17c514ed3b9f,16897,06/06/22,0,5,11,13,0.384615,13,0,0,0,,0,39,4,15,0.102564,0.384615,JIO,15,,0.004091906,-5.494644,0.030936942,0.062666667
98c959c0-0bda-4486-b4ea-5ed974eb8b86,12601,27/05/22,0,0,3,4,0,0,0,0,0,,0,52,11,13,0.211538,0.25,AIRTEL,23,,0.00427481,-5.4507318,0.031377715,0.062666667
0ff2a610-784f-4d76-b83f-6a2d055faaea,19916,16/06/22,0,0,0,0,,,0,0,0,,0,45,4,23,0.088889,0.511111,AIRTEL,6,,0.004468032,-5.406329,0.031829585,0.062666667
43ccd165-8f64-421c-84c4-8ef79d1cf676,4495,02/03/22,0,7,9,10,0.7,0,0,0,0,,0,140,28,16,0.2,0.114286,JIO,34.5,,0.00463412,-5.369664,0.03220745,0.062666667
2bf37375-8424-4c45-a676-585fa02aef28,4353,30/04/22,0,0,0,0,,2,0,0,0,,0,59,7,23,0.118644,0.389831,JIO,21,,0.0047192,-5.3513856,0.032397443,0.062666667
